roi_idx,panel_id,x0,x1,y0,y1,correlation,rmse,mse,max_abs_diff,sum_ratio,localization,n_pixels,n_masked
0,0,582,594,0,12,0.4033969546365431,2.3550926907839185,5.546461582183838,18.093067169189453,0.8413244136080619,1.0,144,0
1,0,477,489,43,55,0.3098240687856659,8.073182591806315,65.17627716064453,56.21193313598633,0.5321993070014721,1.0,120,24
2,0,1150,1162,91,103,0.004874713919719257,3.573932707133304,12.772994995117188,28.981660842895508,0.08519609392862308,1.0,144,0
3,0,1292,1304,109,121,0.22878266389288676,16.174334618209087,261.6091003417969,133.9340057373047,0.5721479626397321,1.0,144,0
4,0,178,190,312,324,0.6005368459373679,3.6102525048961445,13.033923149108887,28.087177276611328,1.0279900017769354,1.0,142,2
5,0,715,727,429,441,0.6651452221366569,106.84058747878775,11414.9111328125,989.97705078125,2.8202040249897777,1.0,144,0
6,0,1837,1849,440,452,0.7058958280329128,81.03928204503666,6567.365234375,574.493408203125,2.0832525292016255,1.0,144,0
7,0,570,582,448,460,0.6225307116705423,83.63843431887341,6995.3876953125,778.5189208984375,0.3174146519227093,1.0,144,0
8,0,1155,1167,455,467,0.35266840435911684,10.953229481937479,119.97323608398438,97.77545166015625,0.09126865152632412,0.5,144,0
9,0,1280,1292,469,481,0.8313638029456935,34.56613410483048,1194.817626953125,355.77630615234375,2.403327225327815,1.0,144,0
10,0,1115,1127,509,521,0.3551082874969128,6.602891704664358,43.59817886352539,27.917509078979492,0.19171347863575858,1.0,144,0
11,0,1438,1450,523,535,0.10320136629242271,39.325682159928895,1546.50927734375,336.9745788574219,0.00010362732853955493,0.5,144,0
12,0,908,920,534,546,0.8516522880948802,546.4177945949418,298572.40625,3281.392333984375,1.3171933958188113,1.0,144,0
13,0,1076,1088,562,574,0.8928562712004782,1768.2963552527049,3126872.0,13484.62109375,1.0047292903606102,1.0,144,0
14,0,1762,1774,570,582,0.6911301493286225,117.34821895617974,13770.6044921875,1001.896484375,0.950497399737406,1.0,144,0
15,0,1278,1290,635,647,0.9287600619308202,1826.157714985209,3334852.0,12858.3232421875,1.9715776469056432,1.0,132,12
16,0,1850,1862,670,682,0.4913766610655624,3.575040195479205,12.780912399291992,19.201244354248047,0.14919242623792056,1.0,144,0
