Step	Chi²	Grad_log_scale	q_norm	Has_NaN	Has_Inf
0	8837164.0	149661.953125	1.0	False	False
1	8836375.0	149523.1875	1.0	False	False
2	8835588.0	149384.5	1.0	False	False
3	8834800.0	149245.84375	1.0	False	False
4	8834013.0	149107.140625	1.0	False	False
5	8833225.0	148968.34375	1.0	False	False
6	8832440.0	148829.59375	1.0	False	False
7	8831652.0	148690.890625	1.0	False	False
8	8830864.0	148552.21875	1.0	False	False
9	8830078.0	148413.515625	1.0	False	False
